GEO_ID,NAME,B25014_008E,B25014_008M,B25014_009E,B25014_009M,B25014_010E,B25014_010M,B25014_011E,B25014_011M,B25014_012E,B25014_012M,B25014_013E,,,,,,,,,,,,,,,B25014_013M
Geography,Geographic Area Name,Estimate!!Total:!!Renter occupied:,Margin of Error!!Total:!!Renter occupied:,Estimate!!Total:!!Renter occupied:!!0.50 or less occupants per room,Margin of Error!!Total:!!Renter occupied:!!0.50 or less occupants per room,Estimate!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room,Margin of Error!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room,Estimate!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room,Margin of Error!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room,Estimate!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room,Margin of Error!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room,Estimate!!Total:!!Renter occupied:!!2.01 or more occupants per room,,,,,,,,,,,,,,,Margin of Error!!Total:!!Renter occupied:!!2.01 or more occupants per room
310M700US23460,"Gadsden, AL Metro Area",10283,583,6903,502,2903,421,271,125,162,109,44,,,,,,,,,,,,,,,52
310M700US23540,"Gainesville, FL Metro Area",58066,1493,36420,1513,19529,1473,1298,384,548,201,271,,,,,,,,,,,,,,,224
310M700US23580,"Gainesville, GA Metro Area",23130,903,11869,872,8844,719,1761,306,561,192,95,,,,,,,,,,,,,,,91
310M700US23900,"Gettysburg, PA Metro Area",8627,540,6041,459,2426,370,98,50,21,21,41,,,,,,,,,,,,,,,51
310M700US24020,"Glens Falls, NY Metro Area",14116,771,10597,723,3240,421,143,95,89,61,47,,,,,,,,,,,,,,,51
310M700US24140,"Goldsboro, NC Metro Area",18312,919,11473,782,6007,587,605,221,227,158,0,,,,,,,,,,,,,,,32
310M700US24220,"Grand Forks, ND-MN Metro Area",18641,649,12944,686,5000,496,308,130,272,165,117,,,,,,,,,,,,,,,79
310M700US24260,"Grand Island, NE Metro Area",10464,529,6592,503,3370,495,294,140,92,71,116,,,,,,,,,,,,,,,115
310M700US24300,"Grand Junction, CO Metro Area",18123,872,13116,843,4611,585,275,141,115,79,6,,,,,,,,,,,,,,,10
310M700US24340,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",111780,2162,73845,1914,34026,1560,2919,490,936,290,54,,,,,,,,,,,,,,,45
310M700US24420,"Grants Pass, OR Metro Area",10382,646,6240,649,3608,447,313,177,221,153,0,,,,,,,,,,,,,,,31
310M700US24500,"Great Falls, MT Metro Area",11207,590,7874,512,3123,351,156,60,54,37,0,,,,,,,,,,,,,,,27
310M700US24540,"Greeley, CO Metro Area",29797,1184,18240,973,9665,831,1271,328,398,159,223,,,,,,,,,,,,,,,123
310M700US24580,"Green Bay, WI Metro Area",41375,1368,29275,1311,10572,821,1208,276,269,113,51,,,,,,,,,,,,,,,48
310M700US24660,"Greensboro-High Point, NC Metro Area",114917,2221,75701,1986,34401,1741,3234,536,1256,336,325,,,,,,,,,,,,,,,198
310M700US24780,"Greenville, NC Metro Area",36189,1364,24231,1366,11100,944,557,250,220,164,81,,,,,,,,,,,,,,,87
310M700US24860,"Greenville-Anderson-Greer, SC Metro Area",112590,2885,73784,2463,33832,1821,3100,576,1412,346,462,,,,,,,,,,,,,,,213
310M700US25020,"Guayama, PR Metro Area",8595,779,5184,618,3028,452,352,243,31,50,0,,,,,,,,,,,,,,,36
310M700US25060,"Gulfport-Biloxi, MS Metro Area",52788,1416,33128,1442,17691,1252,1628,391,270,153,71,,,,,,,,,,,,,,,66
310M700US25180,"Hagerstown-Martinsburg, MD-WV Metro Area",33288,1199,23284,1197,8718,902,666,233,496,215,124,,,,,,,,,,,,,,,100
310M700US25220,"Hammond, LA Metro Area",15459,1102,10289,994,4558,684,575,307,37,41,0,,,,,,,,,,,,,,,33
310M700US25260,"Hanford-Corcoran, CA Metro Area",20182,865,9799,788,8200,788,1591,355,455,212,137,,,,,,,,,,,,,,,94
310M700US25420,"Harrisburg-Carlisle, PA Metro Area",78632,1809,56065,1660,20571,1392,1259,307,638,217,99,,,,,,,,,,,,,,,76
310M700US25500,"Harrisonburg, VA Metro Area",18587,778,11511,747,6435,586,426,173,161,97,54,,,,,,,,,,,,,,,62
310M700US25540,"Hartford-West Hartford-East Hartford, CT Metro Area",151991,2596,98761,2386,48344,1938,3155,384,1253,237,478,,,,,,,,,,,,,,,209
310M700US25620,"Hattiesburg, MS Metro Area",21495,837,14486,827,6293,717,589,266,126,85,1,,,,,,,,,,,,,,,4
310M700US25740,"Helena, MT Metro Area",10471,610,7707,585,2436,376,231,114,97,89,0,,,,,,,,,,,,,,,27
310M700US25860,"Hickory-Lenoir-Morganton, NC Metro Area",39124,1551,25180,1282,12502,959,1046,278,359,166,37,,,,,,,,,,,,,,,34
310M700US25940,"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",22802,1141,13737,1057,7254,872,1357,420,390,197,64,,,,,,,,,,,,,,,66
310M700US25980,"Hinesville, GA Metro Area",13937,714,8320,659,5104,514,502,243,11,17,0,,,,,,,,,,,,,,,34
