"GEO_ID","NAME","B20004_001E","B20004_001M","B20004_002E","B20004_002M","B20004_003E","B20004_003M","B20004_004E","B20004_004M","B20004_005E","B20004_005M","B20004_006E","B20004_006M","B20004_007E","B20004_007M","B20004_008E","B20004_008M","B20004_009E","B20004_009M","B20004_010E","B20004_010M","B20004_011E","B20004_011M","B20004_012E","B20004_012M","B20004_013E","B20004_013M","B20004_014E","B20004_014M","B20004_015E","B20004_015M","B20004_016E","B20004_016M","B20004_017E","B20004_017M","B20004_018E","B20004_018M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate","Margin of Error!!Total:!!Less than high school graduate","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college or associate's degree","Margin of Error!!Total:!!Some college or associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Less than high school graduate","Margin of Error!!Total:!!Male:!!Less than high school graduate","Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!Some college or associate's degree","Margin of Error!!Total:!!Male:!!Some college or associate's degree","Estimate!!Total:!!Male:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!Bachelor's degree","Estimate!!Total:!!Male:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!Graduate or professional degree","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Less than high school graduate","Margin of Error!!Total:!!Female:!!Less than high school graduate","Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!Some college or associate's degree","Margin of Error!!Total:!!Female:!!Some college or associate's degree","Estimate!!Total:!!Female:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!Bachelor's degree","Estimate!!Total:!!Female:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!Graduate or professional degree",
"310M700US40220","Roanoke, VA Metro Area","48920","1016","31537","1909","40174","1454","44906","2169","61767","1865","74888","2987","55248","1273","39833","3988","45515","2495","54528","3060","75509","4711","100124","5016","42756","1443","24164","1732","32984","1912","38545","2768","51721","2479","64684","3365",
"310M700US40340","Rochester, MN Metro Area","60005","770","36238","3441","43954","1308","51429","989","71048","2095","92849","3820","65278","1771","42544","5906","47988","1644","57001","1685","79673","4644","115735","5206","54890","1372","29981","4113","39280","2009","45677","2059","64051","3340","82871","3635",
"310M700US40380","Rochester, NY Metro Area","53390","545","31740","1471","39479","769","47181","734","67451","1549","78581","1734","60846","598","35469","1822","46266","1167","55375","1332","81646","1677","93050","2293","46727","715","27185","2203","33613","920","40412","958","56509","1786","70812","1332",
"310M700US40420","Rockford, IL Metro Area","47135","907","33647","1705","38993","1636","44665","1319","64497","2829","84341","2951","56372","1648","36426","2613","46527","1834","57568","2699","79758","4484","93769","5602","39805","1109","30261","5085","30518","1790","37047","1561","52822","3443","77101","4071",
"310M700US40580","Rocky Mount, NC Metro Area","43239","896","30719","3918","37264","1352","42953","2102","57900","2924","72080","5732","47501","2040","33771","5324","40779","4745","52039","4510","72500","13138","86563","5357","40185","1575","24015","5575","35508","2680","37848","2480","51890","2350","65906","6978",
"310M700US40660","Rome, GA Metro Area","42761","1728","32192","3716","35875","1569","41482","2409","53387","8022","71960","4676","48434","1619","36462","1510","42722","3351","49143","3910","72244","13192","79757","17706","36757","1390","25713","3081","28730","4048","36720","2706","45625","3732","70078","7417",
"310M700US40900","Sacramento-Roseville-Folsom, CA Metro Area","59301","638","34447","1231","43111","809","51333","733","78963","1226","102925","1337","65718","801","40831","1063","48320","951","60048","895","90533","1367","119281","2409","52329","572","25291","1392","36467","771","45048","904","68742","1685","91660","1648",
"310M700US40980","Saginaw, MI Metro Area","45191","1225","29609","3419","36394","1540","40366","1361","66721","4399","79637","6022","51995","1202","35144","3519","43184","1747","51771","1492","78865","5962","95199","9797","37900","1607","21092","4363","26827","2710","33566","1484","54759","3821","70429","5604",
"310M700US41060","St. Cloud, MN Metro Area","52168","809","35723","3411","41704","1962","51372","1139","62657","2692","79199","4390","58841","1376","47159","6717","50099","1780","59165","1818","72127","4720","86532","6277","46026","1605","24583","6361","30733","1535","43897","1931","56129","1821","74644","4010",
"310M700US41100","St. George, UT Metro Area","46150","1449","40481","7382","38275","3375","42356","2353","49478","3235","84615","5077","57783","3077","53387","10427","43332","3319","54086","5342","66032","9487","107904","15571","35222","2099","29384","2745","32035","3032","32315","2683","37342","4891","60913","2948",
"310M700US41140","St. Joseph, MO-KS Metro Area","45842","1230","30851","3624","39820","2208","45481","2326","52624","2638","67192","3797","50542","1305","35546","6174","47839","1455","53459","3122","67067","7180","80726","10316","39359","1543","27409","5332","30493","1379","39744","3402","45838","4063","62366","5960",
"310M700US41180","St. Louis, MO-IL Metro Area","54804","414","32557","1304","40003","542","47733","509","68687","1128","85884","1120","64247","694","39994","2258","47091","761","60046","789","83562","1618","109309","2077","46531","452","24778","1117","33045","823","39617","727","58287","961","72696","946",
"310M700US41420","Salem, OR Metro Area","48396","806","33456","1992","39658","1589","48565","1458","66140","2580","81934","3128","53483","1401","36836","1366","43810","2000","58086","3251","77980","3473","88996","4789","42158","973","26090","3423","33397","2466","39835","2085","56899","3201","79063","3173",
"310M700US41500","Salinas, CA Metro Area","47788","733","31567","620","40745","1422","51578","1568","73550","2774","96990","3270","51684","1118","36534","1209","47754","2206","59921","3090","86239","2653","109747","6192","41709","943","24176","1276","35362","1466","47554","2512","64429","4058","90696","4168",
"310M700US41540","Salisbury, MD Metro Area","47303","1821","33050","2389","39124","2353","45736","1281","60908","4981","78905","4495","53453","1968","33275","4164","46954","4086","53286","3009","67174","10317","94375","12494","42759","1723","32889","3008","34962","4364","41110","2144","51092","3423","72980","5217",
"310M700US41620","Salt Lake City-Murray, UT Metro Area","56528","675","38597","1980","43589","868","51182","676","69345","1496","95867","2172","66351","705","44879","2322","51304","1116","61516","882","85189","1878","110571","2600","45923","856","30615","1504","35817","841","41985","867","56737","1178","78676","3000",
"310M700US41660","San Angelo, TX Metro Area","44605","1531","34028","4934","37429","2374","43418","2905","56481","4898","66104","2483","54790","2860","38897","7586","44771","2729","59596","3119","63885","3634","72603","7823","36464","1241","29113","4006","28600","2587","35081","3395","49856","5792","57165","14382",
"310M700US41700","San Antonio-New Braunfels, TX Metro Area","48061","448","30409","713","36184","502","44637","600","65231","869","81605","1699","55023","717","36040","760","41583","694","52765","1266","77816","1335","99993","2825","41204","574","22054","768","30855","647","37442","651","57386","1019","70940","1365",
"310M700US41740","San Diego-Chula Vista-Carlsbad, CA Metro Area","60895","337","32835","726","41666","699","51030","535","80982","967","107001","1133","68990","831","37363","824","47795","807","59535","1010","94577","1901","127715","3285","51542","483","25490","860","34600","1018","42490","664","67462","1067","91575","1474",
"310M700US41780","Sandusky, OH Metro Area","49828","1898","39688","11561","40950","1565","46963","2422","61032","2664","80203","4041","61562","1531","46969","4284","49159","2703","64200","6192","75577","6605","90682","7375","39896","2184","28931","2965","28567","2571","36283","1779","50847","3531","72004","7455",
"310M700US41860","San Francisco-Oakland-Fremont, CA Metro Area","79322","542","35532","464","45377","818","57276","828","101912","822","140336","1380","88904","1049","40835","627","50450","942","65792","1024","120100","1163","170011","2397","70297","670","27975","887","37651","1163","48844","728","87019","1062","115864","1249",
"310M700US41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area","88246","1343","38745","1018","46912","844","59533","1148","110133","1780","170367","2155","105605","1810","44130","931","52507","1081","68865","2112","135961","4073","201449","1705","71546","1197","31387","1238","37842","1708","50287","1322","87522","2310","130828","2158",
"310M700US41980","San Juan-Bayamón-Caguas, PR Metro Area","24688","208","14787","514","18230","242","22025","290","32510","507","46319","1075","25043","347","15560","549","19439","292","24516","422","37074","954","56569","2187","24341","292","12709","954","15639","429","19868","335","30269","583","42431","1150",
"310M700US42020","San Luis Obispo-Paso Robles, CA Metro Area","56484","1967","32278","2563","41759","2130","50149","2109","73145","3138","97708","4845","65217","2763","36154","2761","47922","4078","61184","3152","92967","7271","122086","10219","47777","1796","25815","3221","36060","1916","42624","2734","59960","4360","84032","4699",
