"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"21140","Elkhart-Goshen, IN",".",".",".",".","0.07","0.065",".",".",".","19","8.1",".",".","."
"21220","Elko, NV",".",".",".",".",".",".",".",".",".",".",".","120","24","."
"21260","Ellensburg, WA",".",".",".",".",".",".",".",".",".","15","4.7",".",".","."
"21340","El Paso, TX","4.7","3",".","13","0.09","0.077","6","2","0",".",".","307","78","."
"21420","Enid, OK",".",".",".",".",".",".","47","10","0",".",".",".",".","."
"21500","Erie, PA","1","0.7","35","5","0.07","0.064",".",".",".","14","6",".",".","."
"21580","Espa¤ola, NM",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"21660","Eugene, OR",".",".",".",".","0.08","0.064",".",".",".","41","8.2","92","13","."
"21700","Eureka-Arcata-Fortuna, CA",".",".","13","1","0.05","0.047","1","1","0","20","6.5","54","17","."
"21780","Evansville, IN-KY","2.1","0.9","27","3","0.08","0.067","79","21","2","18","8.3","46","17","."
"21820","Fairbanks, AK","5.8","2.1",".",".","0.06","0.052","11","8","2","119","12.6","90","15","."
"21900","Fairmont, WV",".",".",".",".",".",".",".",".",".","13","6.3",".",".","."
"21980","Fallon, NV",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"22020","Fargo, ND-MN",".",".","24","3","0.06","0.056","3","3","2","16","6.3",".",".","."
"22140","Farmington, NM",".",".","37","9","0.08","0.071",".",".",".",".",".","49","7","."
"22180","Fayetteville, NC",".",".",".",".","0.07","0.062","1","1","0","19","8","42","15","."
"22220","Fayetteville-Springdale-Rogers, AR-MO",".",".",".",".","0.09","0.065",".",".",".","19","8.4","31","16","."
"22280","Fernley, NV",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"22300","Findlay, OH",".",".",".",".",".",".","7","4","1",".",".",".",".","."
"22380","Flagstaff, AZ",".",".",".",".","0.07","0.071",".",".",".",".",".",".",".","."
"22420","Flint, MI",".",".",".",".","0.07","0.063",".",".",".","19","6.9",".",".","0.01"
"22500","Florence, SC",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"22540","Fond du Lac, WI",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"22660","Fort Collins, CO","1.7","1",".",".","0.09","0.083",".",".",".","21","6.4",".",".","."
"22840","Fort Payne, AL",".",".",".",".","0.07","0.06",".",".",".","17","6.4",".",".","."
"22900","Fort Smith, AR-OK",".",".","22","4","0.07","0.059",".",".",".","17","8.4",".",".","."
"23060","Fort Wayne, IN",".",".",".",".","0.07","0.066",".",".",".","18","8.2",".",".","."
"23340","Fremont, NE",".",".",".",".",".",".",".",".",".",".",".",".",".","0.03"
"23420","Fresno, CA","1.7","1.5","46","16","0.11","0.088","6","2","1","43","13.5","154","44","."
"23460","Gadsden, AL",".",".",".",".","0.06","0.058",".",".",".","20","8.7",".",".","."
