"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"310M700US36420","Oklahoma City, OK Metro Area","626047","3917","16393","1029","62454","1862","84577","2621","108516","2433","107236","2782","51705","1627","96578","2121","17400","1028","19867","1176","34654","1447","16072","1036","10595","901",
"310M700US36500","Olympia-Lacey-Tumwater, WA Metro Area","110794","2272","3389","528","10552","1028","14623","1093","17715","1203","17181","1266","8460","812","13267","1164","3409","473","4296","544","9221","999","6215","679","2466","424",
"310M700US36540","Omaha, NE-IA Metro Area","432941","2959","12100","682","48600","1617","71724","1794","84826","2507","80370","2241","38867","1552","50966","1756","9650","727","8945","641","13945","975","7166","651","5782","530",
"310M700US36740","Orlando-Kissimmee-Sanford, FL Metro Area","1137319","7476","16656","1415","67785","2843","119023","3926","150570","3862","161881","4159","90646","3124","204409","5112","51461","2322","59837","2837","118347","3839","67794","2882","28910","2431",
"310M700US36780","Oshkosh-Neenah, WI Metro Area","78946","1217","3559","485","12591","980","16371","885","16134","837","10644","718","4832","476","6862","564","1463","277","1561","326","1995","317","1439","275","1495","306",
"310M700US36980","Owensboro, KY Metro Area","47755","1036","1737","340","7354","813","11145","829","8791","840","5689","693","1905","347","3604","545","1595","445","1382","367","2485","408","1356","270","712","210",
"310M700US37100","Oxnard-Thousand Oaks-Ventura, CA Metro Area","337659","3190","7486","774","31429","1494","49207","1893","49515","1701","41324","1905","51797","2244","39842","1907","7788","741","11519","791","21585","1160","17104","1124","9063","721",
"310M700US37140","Paducah, KY-IL Metro Area","42099","887","2217","359","6097","613","8994","730","7663","699","4594","488","2440","335","5251","602","840","209","961","200","1414","209","1032","236","596","152",
"310M700US37340","Palm Bay-Melbourne-Titusville, FL Metro Area","240989","3170","5022","827","19156","1326","29840","1840","39022","1841","43534","1983","20135","1294","36029","1977","8547","981","8355","1013","16256","1168","10942","1072","4151","537",
"310M700US37460","Panama City-Panama City Beach, FL Metro Area","90617","1533","2650","502","9656","1014","12151","1021","16778","1134","11830","914","4738","552","13724","1113","2890","425","3234","485","6750","741","4148","608","2068","389",
